  -1.0000000000000000e+01   1.2841039253711045e-04   2.8430414925152610e-05
  -9.8000000000000007e+00   1.5684080746226306e-04   3.4724987074508069e-05
  -9.5999999999999996e+00   1.9156579453677113e-04   4.2413194751707913e-05
  -9.4000000000000004e+00   2.3397898928847905e-04   5.1803592618142850e-05
  -9.1999999999999993e+00   2.8578258190662190e-04   6.3273050115645550e-05
  -9.0000000000000000e+00   3.4905563202226745e-04   7.7281876487598437e-05
  -8.8000000000000007e+00   4.2633750850986588e-04   9.4392294472333345e-05
  -8.5999999999999996e+00   5.2072980298219923e-04   1.1529100403375825e-04
  -8.4000000000000004e+00   6.3602080701595748e-04   1.4081674160120925e-04
  -8.1999999999999993e+00   7.7683754861716673e-04   1.7199394070401843e-04
  -8.0000000000000000e+00   9.4883148932118516e-04   2.1007384462233612e-04
  -7.7999999999999998e+00   1.1589053339435213e-03   2.5658472050621352e-04
  -7.5999999999999996e+00   1.4154900544497348e-03   3.1339318924261238e-04
  -7.4000000000000004e+00   1.7288832436923472e-03   3.8277913065054483e-04
  -7.1999999999999993e+00   2.1116623743428920e-03   4.6752716692819753e-04
  -7.0000000000000000e+00   2.5791895412710895e-03   5.7103838991910075e-04
  -6.7999999999999998e+00   3.1502279311901903e-03   6.9746680529952920e-04
  -6.5999999999999996e+00   3.8476947364897195e-03   8.5188594980129158e-04
  -6.4000000000000004e+00   4.6995806862910111e-03   1.0404923321988531e-03
  -6.1999999999999993e+00   5.7400730184898642e-03   1.2708537968937773e-03
  -6.0000000000000000e+00   7.0109268153836415e-03   1.5522126576036546e-03
  -5.7999999999999998e+00   8.5631394729872960e-03   1.8958555479792194e-03
  -5.5999999999999996e+00   1.0458995020966515e-02   2.3155644335617100e-03
  -5.3999999999999995e+00   1.2774559454528225e-02   2.8281661588791945e-03
  -5.1999999999999993e+00   1.5602725613407420e-02   3.4542012607665304e-03
  -5.0000000000000000e+00   1.9056926874173950e-02   4.2187364778044044e-03
  -4.7999999999999998e+00   2.3275663351978355e-02   5.1523491722557276e-03
  -4.5999999999999996e+00   2.8428012524234082e-02   6.2923151755709672e-03
  -4.3999999999999995e+00   3.4720327699805049e-02   7.6840331752858551e-03
  -4.1999999999999993e+00   4.2404360875090905e-02   9.3827163358484456e-03
  -4.0000000000000000e+00   5.1787077210939350e-02   1.1455370934719322e-02
  -3.7999999999999998e+00   6.3242448145658672e-02   1.3983054109271698e-02
  -3.5999999999999996e+00   7.7225502254930370e-02   1.7063343169580386e-02
  -3.3999999999999995e+00   9.4288845424510756e-02   2.0812829946470240e-02
  -3.1999999999999993e+00   1.1510167537098100e-01   2.5369226707991868e-02
  -3.0000000000000000e+00   1.4047090207897286e-01   3.0892250921884190e-02
  -2.7999999999999998e+00   1.7136315300085705e-01   3.7561702846144518e-02
  -2.5999999999999996e+00   2.0892485584700157e-01   4.5569836990857121e-02
  -2.3999999999999995e+00   2.5449469283785869e-01   5.5102930526488125e-02
